,,,,,,,,,,, ,
,,,,,,,,,,,,
Assigned,BRANCH ,Customer,Account Status,Collection Status,PHASE,COMMUNICATION SCHEDULE,Note/Contact Date,Collections Team - Notes,Action Item / Follow-up Items,Local Management Note Date,Local Management Notes,Days since contact
Sylvia,Bakersfield,"INNERLINE ENGINEERING, INC.",Active,Contacted,COLLECTION TEAM,WEEKLY,5/15/2026,"Taylor replied said, $795.00 Ck-8151 out on 4-23  &  $600.00 Ck-8175 out on 5-11; I am asking Taylor what address those checks were sent to?  (bakersfield job)",,,,5
Josie,,UNDERGROUND PIPELINE SPECIALTY INC.,ON HOLD,Uncollectable,VP/HIGH LEVEL,WEEKLY,5/1/2026,Emailed Steven asking if we are servicing this customer being they were on hold and  they have a current invoice  2nd request,,,,19
Josie,Bakersfield,"KYA SERVICES, LLC",Active,Contacted,COLLECTION TEAM,WEEKLY,5/6/2026,Waiting on CAC invoices also Athena has not sent the check stubs ,,,,14
Josie,Bakersfield,ALLY ENTERPRISES,Active,Contacted,COLLECTION TEAM,WEEKLY,5/6/2026,Fowarded email that I sent to Jenny to day's ago waiting on response ,,,,14
Lui,OC,CALIFORNIA TRAFFIC CONTROL,Active,Contacted,COLLECTION TEAM,WEEKLY,5/5/2026,"Text Elijah about open balance, Told him I sent Kelly the invoice, he responded that he would follow up with her",,,,15
Sylvia,Bakersfield,CARBON SUPPLY INC,Active,Contacted,COLLECTION TEAM,WEEKLY,5/19/2026,"emailed Martha, asking if the April-18 invoice was received, (bakersfield account)",,,,1
Josie,O.C  /Bakersfield ,DOTY BROS EQUIPMENT CO.,Active,Contacted,COLLECTION TEAM,WEEKLY,5/6/2026,Called left voice mail for Brenda regarding past due and balance waiting on response ,,,,14
Sylvia,Bakersfield,TURNER TRANS LIFT INC.,Active,Contacted,VP/HIGH LEVEL,DO NOT CALL,9/3/2025,DO NOT CALL THIS CUSTOMER ,,,,259
Sylvia,Orange County / Bakersfield,"MILLER EQUIPMENT COMPANY, INC.",Active,Contacted,BRANCH MANAGER,WEEKLY,5/14/2026,"emailed balance report to Angela, April invoices, (orange county)",,,,6
Sylvia,Bakersfield,"NEXUS 3D CONSULTING, LLC",Active,Contacted,BRANCH MANAGER,WEEKLY,5/19/2026,"payment this friday per Aaron. -following up on payment as promised for this week with Michele, waiting for a response (bakersfield account)",,,,1
Josie,,STOCKBRIDGE GENERAL CONTRACTING,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Sylvia,Bakersfield,KERN OIL & REFINING CO. DBA KERN ENERGY,Active,Promise to Pay,COLLECTION TEAM,WEEKLY,5/19/2026,"$1,575.00 with ACH payment on May-17th per Jessica, (bakersfield job)",,,,1
Sylvia,Bakersfield,WATER ASSOCIATES,Active,Paid,COLLECTION TEAM,WEEKLY,5/18/2026,"$1,910.00 Ck-4284 payment out Thursday per Sylvia for the Feb-7 invoice, account paid in full. (bakersfield account)",,,,2
Sylvia,Bakersfield,"TRICOM NETWORKS, INC.",Active,Contacted,COLLECTION TEAM,WEEKLY,5/19/2026,"Judy replied said she should have an update by end of week. -emailed balance report to Judy for the April invoices, asking for payment update, (bakersfield account)",,,,1
